ticker,entry_date,exit_date,return_pct
JPM,2023-11-20,2023-01-02,9.54060097635074
JPM,2023-11-20,2023-01-09,9.54060097635074
JPM,2023-11-20,2023-01-16,9.54060097635074
AMZN,2023-11-06,2023-01-16,10.692639371533419
AMZN,2023-11-06,2023-01-23,10.692639371533419
GOOG,2023-12-25,2023-01-23,-0.0023518409868783143
AMZN,2023-11-06,2023-01-30,10.692639371533419
GOOG,2023-12-25,2023-01-30,-0.0023518409868783143
AMZN,2023-11-06,2023-02-06,10.692639371533419
GOOG,2023-12-25,2023-02-06,-0.0023518409868783143
JPM,2023-11-20,2023-02-20,9.54060097635074
JPM,2023-11-20,2023-02-27,9.54060097635074
JPM,2023-11-20,2023-03-06,9.54060097635074
GOOG,2023-12-25,2023-03-20,-0.0023518409868783143
GOOG,2023-12-25,2023-03-27,-0.0023518409868783143
GOOG,2023-12-25,2023-04-03,-0.0023518409868783143
AMZN,2023-11-06,2023-04-03,10.692639371533419
GOOG,2023-12-25,2023-04-10,-0.0023518409868783143
AMZN,2023-11-06,2023-04-10,10.692639371533419
GOOG,2023-12-25,2023-04-17,-0.0023518409868783143
AMZN,2023-11-06,2023-04-17,10.692639371533419
AMZN,2023-11-06,2023-04-24,10.692639371533419
GOOG,2023-12-25,2023-05-08,-0.0023518409868783143
GOOG,2023-12-25,2023-05-15,-0.0023518409868783143
GOOG,2023-12-25,2023-05-22,-0.0023518409868783143
GOOG,2023-12-25,2023-05-29,-0.0023518409868783143
AMZN,2023-11-06,2023-05-29,10.692639371533419
GOOG,2023-12-25,2023-06-05,-0.0023518409868783143
AMZN,2023-11-06,2023-06-05,10.692639371533419
GOOG,2023-12-25,2023-06-12,-0.0023518409868783143
AMZN,2023-11-06,2023-06-12,10.692639371533419
AMZN,2023-11-06,2023-06-19,10.692639371533419
AMZN,2023-11-06,2023-06-26,10.692639371533419
AMZN,2023-11-06,2023-07-03,10.692639371533419
AMZN,2023-11-06,2023-07-10,10.692639371533419
JPM,2023-11-20,2023-07-10,9.54060097635074
AMZN,2023-11-06,2023-07-17,10.692639371533419
GOOG,2023-12-25,2023-07-17,-0.0023518409868783143
AMZN,2023-11-06,2023-07-24,10.692639371533419
AMZN,2023-11-06,2023-07-31,10.692639371533419
GOOG,2023-12-25,2023-07-31,-0.0023518409868783143
AMZN,2023-11-06,2023-08-07,10.692639371533419
GOOG,2023-12-25,2023-08-07,-0.0023518409868783143
AMZN,2023-11-06,2023-08-14,10.692639371533419
GOOG,2023-12-25,2023-08-14,-0.0023518409868783143
AMZN,2023-11-06,2023-08-21,10.692639371533419
AMZN,2023-11-06,2023-08-28,10.692639371533419
GOOG,2023-12-25,2023-08-28,-0.0023518409868783143
AMZN,2023-11-06,2023-09-04,10.692639371533419
GOOG,2023-12-25,2023-09-04,-0.0023518409868783143
AMZN,2023-11-06,2023-09-11,10.692639371533419
GOOG,2023-12-25,2023-09-11,-0.0023518409868783143
AMZN,2023-11-06,2023-09-18,10.692639371533419
GOOG,2023-12-25,2023-09-18,-0.0023518409868783143
GOOG,2023-12-25,2023-10-09,-0.0023518409868783143
GOOG,2023-12-25,2023-10-16,-0.0023518409868783143
JPM,2023-11-20,2023-10-16,9.54060097635074
GOOG,2023-12-25,2023-10-23,-0.0023518409868783143
AMZN,2023-11-06,2023-11-06,10.692639371533419
AMZN,2023-11-06,2023-11-13,10.692639371533419
AMZN,2023-11-06,2023-11-20,10.692639371533419
JPM,2023-11-20,2023-11-20,9.54060097635074
AMZN,2023-11-06,2023-11-27,10.692639371533419
JPM,2023-11-20,2023-11-27,9.54060097635074
AMZN,2023-11-06,2023-12-04,10.692639371533419
JPM,2023-11-20,2023-12-04,9.54060097635074
AMZN,2023-11-06,2023-12-11,10.692639371533419
JPM,2023-11-20,2023-12-11,9.54060097635074
AMZN,2023-11-06,2023-12-18,10.692639371533419
JPM,2023-11-20,2023-12-18,9.54060097635074
AMZN,2023-11-06,2023-12-25,10.692639371533419
JPM,2023-11-20,2023-12-25,9.54060097635074
GOOG,2023-12-25,2023-12-25,-0.0023518409868783143
