ticker,entry_date,exit_date,return_pct
NRAIL.NS,2024-06-24,2024-01-08,11.101490234121139
NRAIL.NS,2024-06-24,2024-01-15,11.101490234121139
SCI.NS,2024-05-20,2024-01-15,11.17943485520229
NRAIL.NS,2024-06-24,2024-01-22,11.101490234121139
SCI.NS,2024-05-20,2024-01-22,11.17943485520229
NRAIL.NS,2024-06-24,2024-01-29,11.101490234121139
SCI.NS,2024-05-20,2024-01-29,11.17943485520229
NRAIL.NS,2024-06-24,2024-02-05,11.101490234121139
SCI.NS,2024-05-20,2024-02-05,11.17943485520229
SCI.NS,2024-05-20,2024-02-12,11.17943485520229
SCI.NS,2024-05-20,2024-02-19,11.17943485520229
SCI.NS,2024-05-20,2024-02-26,11.17943485520229
SCI.NS,2024-05-20,2024-03-04,11.17943485520229
SCI.NS,2024-05-20,2024-03-11,11.17943485520229
SCI.NS,2024-05-20,2024-04-08,11.17943485520229
NRAIL.NS,2024-06-24,2024-04-08,11.101490234121139
NRAIL.NS,2024-06-24,2024-04-15,11.101490234121139
NRAIL.NS,2024-06-24,2024-04-22,11.101490234121139
SUBROS.NS,2024-06-17,2024-04-22,7.1283425781188265
SCI.NS,2024-05-20,2024-05-20,11.17943485520229
SCI.NS,2024-05-20,2024-05-27,11.17943485520229
SCI.NS,2024-05-20,2024-06-03,11.17943485520229
SCI.NS,2024-05-20,2024-06-10,11.17943485520229
NAZARA.NS,2024-06-10,2024-06-10,4.559473788985381
SCI.NS,2024-05-20,2024-06-17,11.17943485520229
NAZARA.NS,2024-06-10,2024-06-17,4.559473788985381
KDDL.NS,2024-06-17,2024-06-17,4.119421249467888
SUBROS.NS,2024-06-17,2024-06-17,7.1283425781188265
SCI.NS,2024-05-20,2024-06-24,11.17943485520229
NAZARA.NS,2024-06-10,2024-06-24,4.559473788985381
KDDL.NS,2024-06-17,2024-06-24,4.119421249467888
SUBROS.NS,2024-06-17,2024-06-24,7.1283425781188265
NRAIL.NS,2024-06-24,2024-06-24,11.101490234121139
